"Username","Vehicle.model","Lifetime.average.Wh.km","Your.mileage.km","Your.range.at.100.","X100..range.for.this.trim.level","Remaining.battery.capacity","Trendline.","x","y"
"KrisB","Model S P85",173,33240,383,395,0.97,1.5779,33240,0.97
"KrisB","Model S P85",173,35350,383,395,0.97,1.56,35350,0.97
"KrisB","Model S P85",173,38128,384,395,0.97,1.5364,38128,0.97
"KrisB","Model S P85",171,41924,384,395,0.97,1.5042,41924,0.97
"KrisB","Model S P85",171,54700,384,395,0.97,1.3958,54700,0.97
"KRM","Model S P85",205,73397,379,395,0.96,1.2373,73397,0.96
"Krm","Model S P85",217,116000,372,395,0.94,0.8759,116000,0.94
"kwenix","Unspecified 85 kWh",214,21845,394,395,1,1.6745,21845,1
"kwenix","Unspecified 85 kWh",221,30000,384,395,0.97,1.6053,30000,0.97
"l.10.i","Model S 90D",184,17966,448,447,1,1.7074,17966,1
"l.10.i","Model S 90D",194,33608,442,447,0.99,1.5747,33608,0.99
"l.10.i","Model S 90D",198,38003,440,447,0.98,1.5375,38003,0.98
"lcs.toulouse","Model S 90D",NA,37425,436,447,0.98,1.5424,37425,0.98
"Leen","Model S 75",180,12474,350,375,0.93,1.754,12474,0.93
"Leiha","Model S 85D",209,24300,399,425,0.94,1.6537,24300,0.94
"Liddus","Model S P85",198,57000,382,395,0.97,1.3763,57000,0.97
"Liddus","Model S P85",199,60000,379,395,0.96,1.3509,60000,0.96
"Liddus","Model S P85",203,70000,384,395,0.97,1.2661,70000,0.97
"Liddus","Model S P85",201,80000,377,395,0.95,1.1813,80000,0.95
"Liddus","Model S P85",200,90000,374,395,0.95,1.0964,90000,0.95
"Liddus","Model S P85",202,1e+05,376,395,0.95,1.0116,1e+05,0.95
"Liddus","Model S P85",201,110000,382,395,0.97,0.9268,110000,0.97
"Liddus","Model S P85",200,120000,373,395,0.94,0.842,120000,0.94
"Liddus","Model S P85",203,130075,376,395,0.95,0.7565,130075,0.95
"Louis","Model S 60",193,33000,277,284,0.98,1.5799,33000,0.98
"Lucas","Model X 90D",302,24980,398,400,1,1.6479,24980,1
"Lucas","Model X 90D",289,52783,372,400,0.93,1.4121,52783,0.93
"Lucas","Model X 90D",NA,56417,370,400,0.93,1.3813,56417,0.93
"Lucas","Model X 90D",298,67374,371,400,0.93,1.2884,67374,0.93
"Lucas","Model X 90D",294,72019,372,400,0.93,1.249,72019,0.93
"luckyluke","Unspecified 85 kWh",255,36369,377,395,0.95,1.5513,36369,0.95
"luckyluke","Unspecified 85 kWh",255,51255,375,395,0.95,1.4251,51255,0.95
"Lukas","Model S 90D",216,47414,426,447,0.95,1.4576,47414,0.95
"Lupus Mercator","Model S P90D",232,154312,372,412,0.9,0.551,154312,0.9
"Luske","Model S 85",218,66849,391,395,0.99,1.2928,66849,0.99
"Luske","Model S 85",212,113000,381,395,0.96,0.9014,113000,0.96
"Luske","Model S 85",214,70518,388,395,0.98,1.2617,70518,0.98
"Luske","Model S 85",214,128867.2,379,395,0.96,0.7668,128867.2,0.96
"Luske","Model S 85",216,157267,368,395,0.93,0.5259,157267,0.93
"Luske","Model S 85",217,162000,369,395,0.93,0.4858,162000,0.93
"Luske","Model S 85",216,282000,366,395,0.93,-0.5321,282000,0.93
"Luske2","Model S 70",216,50000,360,355,1.01,1.4357,50000,1.01
"m0rph","Model S 70",227,67565,356,355,1,1.2867,67565,1
"Maarten","Model S P85",218,78527,372,395,0.94,1.1938,78527,0.94
"Maarten","Model S P85",216,96560,370,395,0.94,1.0408,96560,0.94
"Maarten ST","Model S P85+",233,28600,394,395,1,1.6172,28600,1
"Maarten ST","Model S P85+",233,39600,385,395,0.97,1.5239,39600,0.97
"Maarten ST","Model S P85+",235,43500,392,395,0.99,1.4908,43500,0.99
"Maarten ST","Model S P85+",225,50000,390,395,0.99,1.4357,50000,0.99
"maarteneekels","Model X P90D",261,2746,378,379,1,1.8365,2746,1
"Manu37","Model S 85D",205,44000,424,425,1,1.4866,44000,1
"MarcK","Model S P85",207,64103,408,395,1.03,1.3161,64103,1.03
"MarcusS","Model S 85",218,27594,385,395,0.97,1.6258,27594,0.97
"MarkVL","Model S 85",240,48623,380,395,0.96,1.4474,48623,0.96
"marlan99","Model S 90D",217,9500,456,447,1.02,1.7792,9500,1.02
"Martin","Model S P85",220,90375,366,395,0.93,1.0933,90375,0.93
"MartinPF","Model S P100D",242.4,19588.87,471.68,483,0.98,1.6937,19588.87,0.98
"Matthias Wagner","Model S 70D",207,49987,358,360,0.99,1.4358,49987,0.99
"Max 35111","Model S 90D 2015",240,1000,421,427,0.99,1.8455,1000,0.99
"Mayhemm","Model S P85+",201,29628.8,414,428,0.97,1.6085,29628.8,0.97
"Merijn","Model S 85",224,35000,381,395,0.96,1.5629,35000,0.96
"Merijn","Model S 85",223,42000,380,395,0.96,1.5036,42000,0.96
"Merijn","Model S 85",225,45000,378,395,0.96,1.4781,45000,0.96
"Merijn","Model S 85",228,54432,376,395,0.95,1.3981,54432,0.95
"Merijn","Model S 85",229,60555,369,395,0.93,1.3462,60555,0.93
"merlinfive","Model S 85D",230,114321,408,425,0.96,0.8902,114321,0.96
"merzhase","Model S 75D",239,10245,389,384,1.01,1.7729,10245,1.01
"mguw","Model S 85D",222,52000,417,425,0.98,1.4187,52000,0.98
"mikelger","Model S 85D",211,26663,430,425,1.01,1.6337,26663,1.01
"mikelger","Model S 85D",206.2,39929,429,425,1.01,1.5211,39929,1.01
"mikeyc","Model S 85",218,26726,378,395,0.96,1.6331,26726,0.96
"MIKLES","Model 3 P",180,1241,479,530,0.9,1.8475,1241,0.9
"MIKLES","Model 3 P",180,4189,452,530,0.85,1.8243,4189,0.85
"MIKLES","Model 3 P",180,4817,460,530,0.87,1.8189,4817,0.87
"MIKLES","Model 3 P",180,6984,470,530,0.89,1.8006,6984,0.89
"MisterGreen","Unspecified 85 kWh",218,50000,386,395,0.98,1.4357,50000,0.98
"misterp","Model S 60",223,49800,260,284,0.92,1.4374,49800,0.92
"MJ","Model S 85",205,47500,383,395,0.97,1.4569,47500,0.97
"mj","Model S 85",213,26110,381,395,0.96,1.6383,26110,0.96
"mj","Model S 90D",195,23990,450,447,1.01,1.6563,23990,1.01
"MjjVonk","Model S P85",202,33598,384,395,0.97,1.5748,33598,0.97
"MjjVonk","Model S P85",232,68000,384,395,0.97,1.283,68000,0.97
"MjjVonk","Model S P85",222,90000,385,395,0.97,1.0964,90000,0.97
"MjjVonk","Model S P85",225,164858,368,395,0.93,0.4615,164858,0.93
"Mjølner","Model S 85D",209,9535,406,425,0.96,1.7789,9535,0.96
"mknox","Model S 85",211,82059,389,428,0.91,1.1638,82059,0.91
"moho","Model S 85D",269,3856,421,425,0.99,1.8271,3856,0.99
"morth_S","Model S 85",210,14857,389,395,0.98,1.7338,14857,0.98
"morth_S","Model S 85",210,17888,388,395,0.98,1.7081,17888,0.98
"morth_X","Model X 90D",225,100,395,400,0.99,1.3375,100,0.99
"morth_X","Model X 90D",210,3442,393,400,0.98,1.8306,3442,0.98
"mr Lois","Model S 100D",181,15,504,510,0.99,1.062,15,0.99
"mr Lois","Model S 100D",181,6196,500,510,0.98,1.8072,6196,0.98
"MrvdG","Model S 90D",194,1512,456,447,1.02,1.8465,1512,1.02
"Muffinman","Model S P85",195,92000,359,395,0.91,1.0795,92000,0.91
"MVNJ","Model S 85",225,48500,385,395,0.97,1.4484,48500,0.97
"mw80","Model S 85",219,36410,379,395,0.96,1.551,36410,0.96
"mw80","Model S 85",195,53756.1,381,395,0.96,1.4039,53756.1,0.96
"Nexus","Model S 85D",220,6900,423,425,1,1.8013,6900,1
"Nexus","Model S 85D",208,50000,421,425,0.99,1.4357,50000,0.99
"nico180","Model S 90D",220,5444,446,447,1,1.8136,5444,1
"nico180","Model S 90D",230,26700,430,447,0.96,1.6333,26700,0.96
"Niels1275","Model S 85",215,36500,372,395,0.94,1.5502,36500,0.94
"Nobbi 67","Model S 90D",206,50153,432,447,0.97,1.4344,50153,0.97
"Nulwoning","Model S 85",190,45050,378,395,0.96,1.4777,45050,0.96
"Nulwoning","Model S 85",192,53833,378,395,0.96,1.4032,53833,0.96
"Nulwoning","Model S 85",191,71820,370,395,0.94,1.2506,71820,0.94
"Nulwoning","Model S 85",190,76550,378,395,0.96,1.2105,76550,0.96
"Nulwoning","Model S 85",189,80840,383,395,0.97,1.1741,80840,0.97
"Nulwoning","Model S 85",187,88160,377,395,0.95,1.112,88160,0.95
"Nulwoning","Model S 85",186,108788,377,395,0.95,0.9371,108788,0.95
"Nulwoning","Model S 85",186,117000,368,395,0.93,0.8674,117000,0.93
"Nulwoning","Model S 85",187,126800,372,395,0.94,0.7843,126800,0.94
"Nulwoning","Model S 85",187,130820,377,395,0.95,0.7502,130820,0.95
"Nulwoning","Model S 85",187,139100,374,395,0.95,0.68,139100,0.95
"Nulwoning","Model S 85",187,140050,376,395,0.95,0.6719,140050,0.95
"Nulwoning","Model S 85",186,148150,379,395,0.96,0.6032,148150,0.96
"Nulwoning","Model S 85",185,152250,382,395,0.97,0.5685,152250,0.97
"Nulwoning","Model S 85",185,156500,376,395,0.95,0.5324,156500,0.95
"Nulwoning","Model S 85",185,171735,365,395,0.92,0.4032,171735,0.92
"Nulwoning","Model S 85",185,176157,368,395,0.93,0.3657,176157,0.93
"Nulwoning","Model S 85",186,180600,365,395,0.92,0.328,180600,0.92
"ODE90D","Model S 90D",218,48000,440,447,0.98,1.4527,48000,0.98
"p666d","Model S P85D",212,51605,388,403,0.96,1.4221,51605,0.96
"P85-wit","Model S P85",203,175896,381,395,0.96,0.3679,175896,0.96
"Paosaep","Model 3 LR AWD",161,2500,497,544,0.91,1.8386,2500,0.91
"Paosaep","Model 3 LR AWD",161,8800,478,544,0.88,1.7852,8800,0.88
"Patrick Claerhout","Model S 85",207,30650,383,395,0.97,1.5998,30650,0.97
"Patrick Claerhout","Model S 85",203,100250,375,395,0.95,1.0095,100250,0.95
"patrickCH","Model S 85",216,65500,382,395,0.97,1.3042,65500,0.97
"patrickCH","Model S 85",215,78372,378,395,0.96,1.1951,78372,0.96
"patrickCH","Model S 85",218,90850,377,395,0.95,1.0892,90850,0.95
"PaulusdB","Model S P85+",225,21530,388,395,0.98,1.6772,21530,0.98
"PaulusdB","Model S P85+",235,31215,385,395,0.97,1.595,31215,0.97
"PaulusdB","Model S P85+",226,37900,382,395,0.97,1.5383,37900,0.97
"PaulusdB","Model S P85+",224,45400,381,395,0.96,1.4747,45400,0.96
"PaulW5","Unspecified 85 kWh",249,22850,385,395,0.97,1.666,22850,0.97
"pbakk","Model S P85+",211,47000,371,395,0.94,1.4612,47000,0.94
"Pebe","Model S 85D",248,370,426,425,1,1.7215,370,1
"Pebe","Model S 85D",220,20147,428,425,1.01,1.6889,20147,1.01
"peters25","Model S 90D",214,8600,455,447,1.02,1.7869,8600,1.02
"peters25","Model S 90D",207,13977,453,447,1.01,1.7413,13977,1.01
"Phil V","Model S 90D",216,45389,425,447,0.95,1.4748,45389,0.95
"Phil V","Model S 90D",217,74117,422,447,0.94,1.2312,74117,0.94
"Phil V","Model S 90D",211,120500,413,447,0.92,0.8377,120500,0.92
"Phil V","Model S 90D",211,55961,424,447,0.95,1.3852,55961,0.95
"Phil V","Model S 90D",211,127000,417,447,0.93,0.7826,127000,0.93
"Phil V","Model S 90D",211,142900,413,447,0.92,0.6478,142900,0.92
"Phil_BE","Model S 70D",233,3000,368,360,1.02,1.8344,3000,1.02
"Phil_BE","Model S 70D",220,7800,358,360,0.99,1.7936,7800,0.99
"Phil_BE","Model S 90D",213,55961,424,447,0.95,1.3852,55961,0.95
"Phil_BE","Model S 70D",202,3000,362,360,1.01,1.8344,3000,1.01
"Phil_BE","Model S 70D",202,12000,358,360,0.99,1.758,12000,0.99
"Phil_BE","Model S 70D",202,105800,343,360,0.95,0.9624,105800,0.95
"philhill","Model S P85",247,6548,385,395,0.97,1.8043,6548,0.97
"philhill","Model S P85",273,16011,383,395,0.97,1.724,16011,0.97
"PimEffting","Model S 85",203,23000,389,395,0.98,1.6647,23000,0.98
"pjhartog","Unspecified 85 kWh",218,26000,388,395,0.98,1.6393,26000,0.98
"pjw65","Model S 85",212,28479,381,395,0.96,1.6182,28479,0.96
"pjw65","Model S 85",210,30311,388,395,0.98,1.6027,30311,0.98
"pjw65","Model S 85",190,43806,383,395,0.97,1.4882,43806,0.97
"pjw65","Model S 85",200,60700,382,395,0.97,1.345,60700,0.97
"pjw65","Model S 85",185,117055,375,395,0.95,0.867,117055,0.95
"Poko","Model S P85+",239,55125,365,395,0.92,1.3922,55125,0.92
"pott pat","Model S 75",206,56000,370,375,0.99,1.3848,56000,0.99
"Prc","Model S P85D",234,112572,373,403,0.93,0.905,112572,0.93
"pvandamcom","Model S P85",224,3434,394,395,1,1.8307,3434,1
"pvandamcom","Model S P85",229,8000,388,395,0.98,1.7919,8000,0.98
"pvandamcom","Model S P85",244,20539,378,395,0.96,1.6856,20539,0.96
"pvh","Model S P85+",245,14977,395,395,1,1.7328,14977,1
"pvh","Model S P85+",248,23056,384,395,0.97,1.6642,23056,0.97
"pvkeep","Model S 90D",214,45500,433,447,0.97,1.4739,45500,0.97
"PW01","Model S 100D",260,16000,490,510,0.96,1.7241,16000,0.96
"PW01","Model S 100D",230,67000,482,510,0.95,1.2915,67000,0.95
"QueenieEye","Model S 85",202,39000,377,395,0.95,1.529,39000,0.95
"QueenieEye","Model S 85",203,63372,375,395,0.95,1.3223,63372,0.95
"QueenieEye","Model S 85",202,69161,366,395,0.93,1.2732,69161,0.93
"QueenieEye","Model S 85",201,83000,365,395,0.92,1.1558,83000,0.92
"QueenieEye","Model S 85",202,93400,369,395,0.93,1.0676,93400,0.93
"QueenieEye","Model S 85",200,106563,369,395,0.93,0.956,106563,0.93
"QueenieEye","Model S 85",200,109248,373,395,0.94,0.9332,109248,0.94
"QueenieEye","Model S 85",200,119000,375,395,0.95,0.8505,119000,0.95
"Quenbo","Model S P100D",267,4781,482,483,1,1.8192,4781,1
"Quenbo","Model S P100D",260,6472,478,483,0.99,1.8049,6472,0.99
"Quenbo","Model S P100D",288,16476,472,483,0.98,1.7201,16476,0.98
"Quenbo","Model S P100D",NA,22863,471,483,0.98,1.6659,22863,0.98
"Quenbo","Model S P100D",NA,32048,466,483,0.96,1.588,32048,0.96
"Quenbo","Model S P100D",NA,37079,466,483,0.96,1.5453,37079,0.96
"Quenbo","Model S P100D",NA,50984,455,483,0.94,1.4274,50984,0.94
"Quenbo","Model S P100D",NA,64224,452,483,0.94,1.3151,64224,0.94
"r.wagner","Model S P85D",220,53000,375,403,0.93,1.4103,53000,0.93
"RaBalder","Model S P85",210,43500,384,395,0.97,1.4908,43500,0.97
"radio","Model S 90D",204,15800,450,447,1.01,1.7258,15800,1.01
"radio","Model S 90D",204,27000,443,447,0.99,1.6308,27000,0.99
"Ram EH","Model S 85",215.55,168130,392,428,0.92,0.4338,168130,0.92
"raptorsf","Model S 75D",NA,3200,389,384,1.01,1.8327,3200,1.01
"Raymond","Model S 85",218,69255,387,395,0.98,1.2724,69255,0.98
"RCH1708","Unspecified 85 kWh",229,27000,381,395,0.96,1.6308,27000,0.96
"RealNuke","Unspecified 85 kWh",270,32080,380,395,0.96,1.5877,32080,0.96
"redevries","Model S 85",219,35244,391,395,0.99,1.5609,35244,0.99
"redevries","Model S 85",229,51700,389,395,0.98,1.4213,51700,0.98
"redevries","Model S 85",235,60588,378,395,0.96,1.3459,60588,0.96
"redevries","Model S 85",225,79470,359,395,0.91,1.1858,79470,0.91
"redevries","Model S 85",224,93906,368,395,0.93,1.0633,93906,0.93
"redevries","Model S 85",226,126077,371,395,0.94,0.7904,126077,0.94
"redevries","Model S 85",226,144744,371,395,0.94,0.6321,144744,0.94
"redevries","Model S 85",226,154801,373,395,0.94,0.5468,154801,0.94
"redevries","Model S 85",221,192495,362,395,0.92,0.2271,192495,0.92
"reiter@lav.at","Model S 90D",210,432,432,447,0.97,1.757,432,0.97
"reiter@lav.at","Model S 90D",210,21000,432,447,0.97,1.6817,21000,0.97
"ReNe","Unspecified 85 kWh",218,32000,383,395,0.97,1.5884,32000,0.97
"Rick A.","Model S 90D",242,4900,445,447,1,1.8182,4900,1
"Rob N.","Model S 85D",230,3200,408,425,0.96,1.8327,3200,0.96
"Rob N.","Model S 85D",223,15000,413,425,0.97,1.7326,15000,0.97
"RobPet","Model S 85",218,82512,379,395,0.96,1.16,82512,0.96
"RobPet","Model S 85",NA,132130,373,395,0.94,0.7391,132130,0.94
"Robrecht","Model S 85D",233,550,403,425,0.95,1.8002,550,0.95
"Rolfe","Model S P85D",221,27000,381,403,0.95,1.6308,27000,0.95
"RonVerbrugge","Model S P85D",208,28000,385,403,0.96,1.6223,28000,0.96
"Rprp","Model S P85",227,46000,381,395,0.96,1.4696,46000,0.96
"Rprp","Model S P85",223,61500,373,395,0.94,1.3382,61500,0.94
"Rprp","Model S P85",229,71050,373,395,0.94,1.2572,71050,0.94
"Rprp","Model S P85",229,80150,369,395,0.93,1.18,80150,0.93
"Rprp","Model S P85",218,94500,370,395,0.94,1.0583,94500,0.94
"Rprp","Model S P85",233,1e+05,368,395,0.93,1.0116,1e+05,0.93
"Rprp","Model S P85",233,108400,366,395,0.93,0.9404,108400,0.93
"Rprp","Model S P85",233,115000,367,395,0.93,0.8844,115000,0.93
"Rprp","Model S P85",233,120000,369,395,0.93,0.842,120000,0.93
"Rprp 90D","Model S 90D",218,300,458,447,1.02,1.6654,300,1.02
"Rprp 90D","Model S 90D",225,15000,447,447,1,1.7326,15000,1
"Rprp 90D","Model S 90D",218,20000,447,447,1,1.6902,20000,1
"rsp","Model S 75D",200,25000,370,384,0.96,1.6478,25000,0.96
"rsvarthur","Model S P85",223,206254,367,395,0.93,0.1104,206254,0.93
"Ruben7113","Unspecified 85 kWh",218,21600,385,395,0.97,1.6766,21600,0.97
"S-19910","Model S P85",218,47352,377,395,0.95,1.4582,47352,0.95
"S-19910","Model S P85",215,102000,362,395,0.92,0.9947,102000,0.92
"S-19910","Model S P85",205,187612,376,395,0.95,0.2685,187612,0.95
"Sam","Model S P85",155,50000,386,395,0.98,1.4357,50000,0.98
"SBA1991","Model S 85",250,1e+05,374,395,0.95,1.0116,1e+05,0.95
"Scholten","Model S 85D",210,12,420,425,0.99,1.05,12,0.99
"SchwartzMobile","Model S 85D",240,115665,412,425,0.97,0.8788,115665,0.97
"sdragon","Model S 75D",198,18375,384,384,1,1.7039,18375,1
"sdragon","Model S 75D",198,19529,383,384,1,1.6942,19529,1
"selsrog","Model S 85",235,8598,388,395,0.98,1.7869,8598,0.98
"selsrog","Model S 85",240,18500,381,395,0.96,1.7029,18500,0.96
"selsrog","Model S 85",250,27000,382,395,0.97,1.6308,27000,0.97
"selsrog","Model S 85",237,36743,368,395,0.93,1.5482,36743,0.93
"selsrog","Model S 85",221,46534,361,395,0.91,1.4651,46534,0.91
"selsrog","Model S 85",221,53226,364,395,0.92,1.4083,53226,0.92
"Sh3xCod","Model S 85D",234,5165,407,425,0.96,1.816,5165,0.96
"Sh3xCod","Model S 85D",233,7400,409,425,0.96,1.797,7400,0.96
"Sheffie","Model S P85D",225,19985,408,407,1,1.6903,19985,1
"shoot72","Model S 85D",207,18650,398,425,0.94,1.7016,18650,0.94
"shoot72","Model S 85D",207,26085,395,425,0.93,1.6386,26085,0.93
"shoot72","Model S 85D",211,39100,409,425,0.96,1.5282,39100,0.96
"shoot72","Model S 85D",210,43210,410,425,0.96,1.4933,43210,0.96
"shoot72","Model S 85D",212,47128,419,425,0.99,1.4601,47128,0.99
"shoot72","Model S 85D",211,52600,419,425,0.99,1.4137,52600,0.99
"shoot72","Model S 85D",211,57583,413,425,0.97,1.3714,57583,0.97
"shoot72","Model S 85D",215,78500,412,425,0.97,1.194,78500,0.97
"shoot72","Model S 85D",215,109111,410,425,0.96,0.9343,109111,0.96
"Shoot72","Model S 85D",217,112809,405,425,0.95,0.903,112809,0.95
"shoot72 S100D","Model S 100D",220,150,509,510,1,1.4524,150,1
"Siempie76","Model S 85",208,132603,373,395,0.94,0.7351,132603,0.94
"Siggy101","Model S 90D",193,5500,450,447,1.01,1.8132,5500,1.01
"Siggy101","Model S 90D",193,8200,449,447,1,1.7902,8200,1
"Silent Bolt","Model S 85D",218,2200,404,425,0.95,1.8411,2200,0.95
"Simen1","Model S P85",206,131600,375,395,0.95,0.7436,131600,0.95
"sjøhyene","Model S 85",220,45777,365,395,0.92,1.4715,45777,0.92
"SmartElectric","Model S 85",220,70000,410,428,0.96,1.2661,70000,0.96
"SmartElectric","Model S 85",NA,140000,410,428,0.96,0.6724,140000,0.96
"Snakefun","Model S 85",195,42419,377,395,0.95,1.5,42419,0.95
"Sometimes","Model X 100D",271,20690,475,470,1.01,1.6843,20690,1.01
"Sometimes","Model S 85",272,145708,426,428,1,0.6239,145708,1
"SSc3010","Model S 85",195,37042,380,395,0.96,1.5456,37042,0.96
"SSc3010","Model S 85",194,42379,379,395,0.96,1.5004,42379,0.96
"SSc3010","Model S 85",192,48407,377,395,0.95,1.4492,48407,0.95
"SSc3010","Model S 85",192,49693,378,395,0.96,1.4383,49693,0.96
"SSc3010","Model S 85",189,60689,374,395,0.95,1.3451,60689,0.95
"SSc3010","Model S 85",189,61228,376,395,0.95,1.3405,61228,0.95
"SSc3010","Model S 85",189,62102,377,395,0.95,1.3331,62102,0.95
"SSc3010","Model S 85",189,62375,376,395,0.95,1.3308,62375,0.95
"SSc3010","Model S 85",189,62465,377,395,0.95,1.33,62465,0.95
"SSc3010","Model S 85",189,62669,378,395,0.96,1.3283,62669,0.96
"SSc3010","Model S 85",189,62764,378,395,0.96,1.3275,62764,0.96
"SSc3010","Model S 85",189,63103,379,395,0.96,1.3246,63103,0.96
"SSc3010","Model S 85",187,69239,365,395,0.92,1.2725,69239,0.92
"SSc3010","Model S 85",186,74631,364,395,0.92,1.2268,74631,0.92
"SSc3010","Model S 85",185,81552,366,395,0.93,1.1681,81552,0.93
"SSc3010","Model S 85",185,86781,375,395,0.95,1.1237,86781,0.95
"SSc3010","Model S 85",186,93058,371,395,0.94,1.0705,93058,0.94
"SSc3010","Model S 85",185,108644,374,395,0.95,0.9383,108644,0.95
"SSc3010","Model S 85",184,112723,375,395,0.95,0.9037,112723,0.95
"SSc3010","Model S 85",184,113170,373,395,0.94,0.8999,113170,0.94
"SSc3010","Model S 85",182,123275,376,395,0.95,0.8142,123275,0.95
"SSc3010","Model S 85",182,133442,380,395,0.96,0.728,133442,0.96
"SSc3010","Model S 85",182,136267,380,395,0.96,0.704,136267,0.96
"SSc3010","Model S 85",182,145160,377,395,0.95,0.6286,145160,0.95
"SSc3010","Model S 85",182,172871,380,395,0.96,0.3936,172871,0.96
"SSc3010","Model S 85",181.4,187618,375,395,0.95,0.2685,187618,0.95
"SSc3010","Model S 85",182,196476,374,395,0.95,0.1933,196476,0.95
"SSc3010","Model S 85",180,202506,373,395,0.94,0.1422,202506,0.94
"SSc3010","Model S 85",181,228132,368,395,0.93,-0.0752,228132,0.93
"StefanSarzio","Model S 75",206,38288,362,375,0.97,1.5351,38288,0.97
"Steinar","Model S 60",199,39500,279,284,0.98,1.5248,39500,0.98
"Steinar","Model S 60",199,39800,274,284,0.96,1.5222,39800,0.96
"Steinar","Model S 60",195,45500,268,284,0.94,1.4739,45500,0.94
"Steinar","Model S 60",199,54100,255,284,0.9,1.4009,54100,0.9
"Stickybit","Model S 70D",209,13659,369,360,1.03,1.7439,13659,1.03
"Stickybit","Model S 70D",218,21045,366,360,1.02,1.6813,21045,1.02
"Stickybit","Model S 70D",204,32500,362,360,1.01,1.5841,32500,1.01
"Stickybit","Model S 70D",207,37124,364,360,1.01,1.5449,37124,1.01
"Stickybit","Model S 70D",209,43082,365,360,1.01,1.4944,43082,1.01
"Stickybit","Model S 70D",207,68968,355,360,0.99,1.2748,68968,0.99
"Sues","Model S 85",222,42200,365,395,0.92,1.5019,42200,0.92
"Sues","Model S 85",222,42900,376,395,0.95,1.4959,42900,0.95
"Surfi","Model S P85D",212,96000,385,403,0.96,1.0456,96000,0.96
"svimtapp","Model S P85",209,49000,373,395,0.94,1.4442,49000,0.94
"Sébastien","Model S 75D",218,8395,383,384,1,1.7886,8395,1
"T-Drive","Model S 75D",220,2700,393,384,1.02,1.8369,2700,1.02
"T-Drive","Model S 75D",240,7100,392,384,1.02,1.7996,7100,1.02
"T-Drive","Model S 75D",243,10000,392,384,1.02,1.775,10000,1.02
"Tazmanian","Model S 85D",230,17500,420,425,0.99,1.7114,17500,0.99
"tehjimos","Model S 85",250,106000,369,395,0.93,0.9607,106000,0.93
"teslabil","Model S P85",209,25775,384,395,0.97,1.6412,25775,0.97
"Teslatim","Model S 90D",280,80000,422,447,0.94,1.1813,80000,0.94
"TG","Model S 75",NA,44000,369,375,0.98,1.4866,44000,0.98
"thethe","Model S P85",214,121121,373,395,0.94,0.8325,121121,0.94
"Thor","Model S 85",244,4178,398,395,1.01,1.8244,4178,1.01
"Thor","Model S 85",250,5500,395,395,1,1.8132,5500,1
"Thor","Model S 85",248,8452,396,395,1,1.7881,8452,1
"Thor","Model S 85",233,17000,390,395,0.99,1.7156,17000,0.99
"Thor","Model S 85",233,17500,388,395,0.98,1.7114,17500,0.98
"Thor","Model S 85",233,19015,388,395,0.98,1.6985,19015,0.98
"Thor","Model S 85",225,40000,384,395,0.97,1.5205,40000,0.97
"Thor","Model S 85",226,41500,385,395,0.97,1.5078,41500,0.97
"Thor","Model S 85",227,48000,384,395,0.97,1.4527,48000,0.97
"Thor","Model S 85",227,49200,386,395,0.98,1.4425,49200,0.98
"Thor","Model S 85",226,54000,386,395,0.98,1.4018,54000,0.98
"Thor","Model S 85",225,54765,384,395,0.97,1.3953,54765,0.97
"Thor2","Model S 70D",223,11500,360,360,1,1.7623,11500,1
"Thor2","Model S 70D",206,19000,349,360,0.97,1.6986,19000,0.97
"Thor2","Model S 70D",204,25000,350,360,0.97,1.6478,25000,0.97
"Thor2","Model S 70D",201,31273,349,360,0.97,1.5945,31273,0.97
"Thor3","Model S 90D",214,1980,445,447,1,1.843,1980,1
"Thor3","Model S 90D",214,2500,450,447,1.01,1.8386,2500,1.01
"Thor3","Model S 90D",220,8000,444,447,0.99,1.7919,8000,0.99
"Thor4","Model S 75",194,350,373,375,0.99,1.7074,350,0.99
"Thor4","Model S 75",196,736,373,375,0.99,1.8319,736,0.99
"Thor4","Model S 75",192,7500,373,375,0.99,1.7962,7500,0.99
"Thor4","Model S 75",190,10500,373,375,0.99,1.7707,10500,0.99
"Thor4","Model S 75",189,12063,373,375,0.99,1.7575,12063,0.99
"Thor4","Model S 75",201,17013,368,375,0.98,1.7155,17013,0.98
"tice17","Model S P85+",217,101887,363,395,0.92,0.9956,101887,0.92
"tice17","Model S P85+",217,75000,378,395,0.96,1.2237,75000,0.96
"ticketchu","Model S 90D",244,14500,435,447,0.97,1.7368,14500,0.97
"Tintorera","Model S 75D",240,1672,384,384,1,1.8454,1672,1
"tliviuc","Model S 90D",197,605,448,447,1,1.8129,605,1
"tliviuc","Model S 90D",191,1167,446,447,1,1.8474,1167,1
"tliviuc","Model S 90D",198,3323,449,447,1,1.8316,3323,1
"tnt369","Model S 90D",210,42500,444,447,0.99,1.4993,42500,0.99
"Tom Pot","Model S 85D",238,115848,401,425,0.94,0.8772,115848,0.94
"Top","Model S 70D",187,300,339,360,0.94,1.6654,300,0.94
"TR","Model S 60",200,44780,256,284,0.9,1.48,44780,0.9
"triprip","Model X 75D",NA,8318,368,377,0.98,1.7892,8318,0.98
"triprip","Model X 75D",NA,12747,369.5,377,0.98,1.7517,12747,0.98
"trou","Model S 85",223,157556,370,395,0.94,0.5234,157556,0.94
